smiles,group
C[C@H](N)C(=O)N[C@@H](C)C(=O)NC1[C@@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@H]12,test
C=CCOc1ccc(CC(=O)O)cc1Cl,test
O=C(O)CCCCCCNC1c2ccccc2CCc2ccccc21,test
CN(C)CCCC1c2ccccc2Nc2ccc(Cl)cc21,test
COc1ccc2c(C(=O)c3ccc(Cl)cc3)c(C)n(CC(=O)O)c2c1,test
CC(=O)Oc1ccc(C(=C2CCCCC2)c2ccc(OC(C)=O)cc2)cc1,test
CN1c2c(oc(=O)n(-c3ccccn3)c2=O)-c2ccccc2S1(=O)=O,test
NC(N)=Nc1nc(CSCCN=CNS(=O)(=O)c2ccc(Br)cc2)cs1,test
O=C(c1cc(O)c(O)c(O)c1)c1ccc(O)c(O)c1O,test
O=C(O)Cc1csc(-c2ccc(Cl)cc2)n1,test
CC(NN)c1ccccc1,test
CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1,test
CN(C)Cc1ccc(CSCCN/C(=C\[N+](=O)[O-])NCc2ccc3c(c2)OCO3)o1,test
Cc1nc([N+](=O)[O-])cn1-c1ccc([N+](=O)[O-])cc1,test
CC(COc1ccccc1)NN,test
NC(=O)C1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,test
NC(=O)NS(=O)(=O)c1ccc(N)cc1,test
Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,test
Cc1cc(Br)c(O)c2ncccc12,test
CC(=O)Oc1ccc(C2(c3ccc(OC(C)=O)cc3)C(=O)N(C(C)=O)c3ccccc32)cc1,test
NC1[C@@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@H]12,test
CCOC(Nc1ccc(C(=O)O)cc1)C(=O)c1ccc(-c2ccccc2)cc1,test
CCOC(=O)CN[C@@H](C(=O)N1CC[C@H]1C(=O)NCc1ccc(/C(N)=N/O)cc1)C1CCCCC1,test
CN(C)CC=C(c1ccc(Br)cc1)c1cccnc1,test
O=C1CN(N=Cc2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1,test
CC(=O)N1CCN(c2ccc(OC[C@@H]3CO[C@@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,test
Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,test
