smiles,Respiratory toxicity,group
OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,0,test
OCCOCCO,0,test
NCCC(=O)N[C@H](Cc1cnc[nH]1)C(=O)O,0,test
CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@H](NC(=O)CSc3ccncc3)[C@H]2SC1,0,test
O=C(OC1C(OC(=O)c2cccnc2)C(OC(=O)c2cccnc2)C(OC(=O)c2cccnc2)C(OC(=O)c2cccnc2)C1OC(=O)c1cccnc1)c1cccnc1,0,test
O=C(/C=C/c1ccc(O)cc1)C1=C(O)C(O)([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C2=C(C1=O)C1OC(CO)C(O)C(O)C1O2,0,test
CC(=O)NCc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,0,test
Cc1ccc(N2C(=O)/C(=C/c3ccc([N+](=O)[O-])cc3)NC2=S)cc1,0,test
COc1c(O)cc2occ(-c3ccc(O)cc3)c(=O)c2c1O,0,test
CC[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]2(C)[C@H]1O,0,test
CCOC(=O)c1ccccc1C(=O)OCC,0,test
N=c1ccn2c(n1)O[C@H]1[C@H](O)[C@@H](CO)O[C@H]12,0,test
Cc1ccc(/C=C2\NC(=S)N(c3ccc(Br)cc3)C2=O)cc1C,0,test
Cc1ccc(C(=O)CCN2CCN(c3ccccc3)CC2)cc1,0,test
NC(=O)c1ccccc1,0,test
Cn1nc(S(N)(=O)=O)s/c1=N/C(=O)c1ccc(Br)cc1,0,test
NC(=O)OC[C@@H](O)COc1ccc2c(c1)CCCC2,0,test
C[C@@H](CO[N+](=O)[O-])O[N+](=O)[O-],0,test
CCCCOCC(O)COCCCC,0,test
CCOC(=O)c1ccc(NC(=O)c2ccc(/N=C3/C(=O)N(C)c4ccc(Cl)cc43)cc2)cc1,0,test
C=C(C)C(=O)N(C)[C@@H](C)[C@@H](O)c1ccccc1,0,test
CCCOC(=O)C[C@H]1NS(=O)(=O)c2ccccc21,0,test
COc1ccc(/C=C2\NC(=S)N(c3ccc(Br)cc3)C2=O)cc1OC,0,test
O=C(COc1cccc2ccccc12)N1CC1,0,test
CC(=O)CCc1ccc(-n2cc3ccccc3n2)cc1,0,test
C1COCCO1,0,test
O=C1CC(c2ccc(OCOc3ccc(C4CC(=O)NC4=O)cc3)cc2)C(=O)N1,0,test
