smiles,Urinary_tract_toxicity,group
Cc1c[nH]c2ccccc12,-2.24304,test
OCCO,-3.74927,test
OCCOCCOCCO,-3.91068,test
C=CCOC(=O)OCCOCCOC(=O)OCC=C,-2.43136,test
O=C([O-])CN(CCN(CC(=O)[O-])CC(=O)O)CC(=O)[O-].[Na+].[Na+].[Na+],-2.47712,test
[N-]=[N+]=CC(=O)NCC(=O)NN,-3.41078,test
CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1,-2.16435,test
COc1ccc([N+](=O)[O-])cc1Cl,-2.91116,test
O=C(Cc1cccs1)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CO)CS[C@H]12.[Na+],-3.94221,test
O=[N+]([O-])OC[C@H]1CO1,-2.47712,test
O=C([O-])CN(CC(=O)O)[C@H]1CCCC[C@@H]1N(CC(=O)[O-])CC(=O)O.[Na+].[Na+],-2.47712,test
O=C([O-])c1cc(/N=N/c2ccc(-c3ccc(/N=N/c4ccc(/N=N/c5ccc(O)cc5)c5cc(S(=O)(=O)[O-])ccc45)cc3)cc2)ccc1O.[Na+].[Na+],-2.60206,test
O=C([O-])CN(CC(=O)O)CC(=O)O.[Na+],-2.66276,test
O=NN(CCCl)C(=O)NC1CCCCC1,-1.72428,test
CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1,-2.60206,test
O=C([O-])CN(CCN(CC(=O)[O-])CC(=O)O)CC(=O)[O-].[Fe+3],-2.77815,test
Cc1ccc(S(=O)(=O)NC(=O)N[C@H]2[C@H]3CC[C@@](C)([C@H]2O)C3(C)C)cc1,-3.18469,test
C[C@@]12CC[C@@H]3[C@](CC[C@@H]4[C@](C)(C(=O)O)CCC[C@@]43C)(CC1=O)C2,-3.02938,test
C1=CCc2cn(-c3ccccc3)cc2C1,-3.30103,test
CCN(CC)C(=O)N[C@H]1C[C@@H]2c3cccc4[nH]cc(c34)C[C@@H]2N(C)C1,-2.43457,test
Cn1c2c(c(=O)n(C)c1=O)CCN2,-2.52634,test
